Name,Creator,Mission Link,Sequence Type,Series Type,Series Name,Series Index,Difficulty,Field Trip Waypoints,FT Qty,Passphrases,Trace Link
Tour of Newcastle #9,GeordieLass,https://www.ingress.com/mission/42e97b89ac794134b43a10fba67800c1.1c,Sequential,Banner,Tour of Newcastle,9,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.980403,-1.616172&z=18&pls=54.981334,-1.617041,54.981382,-1.617402_54.981382,-1.617402,54.980746,-1.616443_54.980746,-1.616443,54.97972,-1.616771_54.97972,-1.616771,54.980039,-1.616288_54.980039,-1.616288,54.980225,-1.616118_54.980225,-1.616118,54.979896,-1.616031_54.979896,-1.616031,54.979712,-1.61567_54.979712,-1.61567,54.979765,-1.61507_54.979765,-1.61507,54.979544,-1.615055_54.979544,-1.615055,54.979403,-1.614595"
Tour of Newcastle #10,GeordieLass,https://www.ingress.com/mission/507d1632525f4ff09ba721e900280369.1c,Sequential,Banner,Tour of Newcastle,10,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.978585,-1.615511&z=18&pls=54.978786,-1.614211,54.979022,-1.614817_54.979022,-1.614817,54.979343,-1.615107_54.979343,-1.615107,54.979225,-1.615592_54.979225,-1.615592,54.979251,-1.615719_54.979251,-1.615719,54.978931,-1.615838_54.978931,-1.615838,54.978622,-1.616923_54.978622,-1.616923,54.977954,-1.616912_54.977954,-1.616912,54.977788,-1.617324_54.977788,-1.617324,54.978056,-1.617722"
Tour of Newcastle #11,GeordieLass,https://www.ingress.com/mission/f6c6c2b36f9b4fbc8a4ee51252951976.1c,Sequential,Banner,Tour of Newcastle,11,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.979052,-1.622049&z=17&pls=54.977177,-1.618455,54.976963,-1.619387_54.976963,-1.619387,54.977847,-1.620915_54.977847,-1.620915,54.977998,-1.620307_54.977998,-1.620307,54.978474,-1.619752_54.978474,-1.619752,54.978665,-1.620998_54.978665,-1.620998,54.979163,-1.622871_54.979163,-1.622871,54.979386,-1.621994_54.979386,-1.621994,54.980091,-1.622813_54.980091,-1.622813,54.980639,-1.623985_54.980639,-1.623985,54.979501,-1.623743_54.979501,-1.623743,54.979675,-1.623287_54.979675,-1.623287,54.979711,-1.622768_54.979711,-1.622768,54.97931,-1.623008_54.97931,-1.623008,54.97902,-1.62361_54.97902,-1.62361,54.978781,-1.624081"
Tour of Newcastle #12,GeordieLass,https://www.ingress.com/mission/979a2c2694d1427e801f2e196e6b6e69.1c,Sequential,Banner,Tour of Newcastle,12,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.97628,-1.625176&z=18&pls=54.979008,-1.624795,54.978728,-1.62474_54.978728,-1.62474,54.978499,-1.624927_54.978499,-1.624927,54.978199,-1.624792_54.978199,-1.624792,54.978065,-1.62503_54.978065,-1.62503,54.97759,-1.624649_54.97759,-1.624649,54.977215,-1.624081_54.977215,-1.624081,54.97705,-1.624365_54.97705,-1.624365,54.977346,-1.624921_54.977346,-1.624921,54.977529,-1.625394_54.977529,-1.625394,54.977007,-1.625038_54.977007,-1.625038,54.977335,-1.625572_54.977335,-1.625572,54.977225,-1.625961_54.977225,-1.625961,54.97606,-1.626456"
Tour of Newcastle #13,GeordieLass,https://www.ingress.com/mission/7f0ba6a8bbb94530af1f71007f23a056.1c,Sequential,Banner,Tour of Newcastle,13,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.974537,-1.623332&z=17&pls=54.975738,-1.627076,54.975178,-1.623677_54.975178,-1.623677,54.974971,-1.62313_54.974971,-1.62313,54.974546,-1.622038_54.974546,-1.622038,54.974244,-1.622583_54.974244,-1.622583,54.973965,-1.622237_54.973965,-1.622237,54.974818,-1.620377_54.974818,-1.620377,54.974964,-1.620039_54.974964,-1.620039,54.973781,-1.620181"
Tour of Newcastle #14,GeordieLass,https://www.ingress.com/mission/79ad014f7cb54a399d327f792d8e31e6.1c,Sequential,Banner,Tour of Newcastle,14,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.972082,-1.620565&z=18&pls=54.97265,-1.620629,54.972065,-1.62171_54.972065,-1.62171,54.971635,-1.620923_54.971635,-1.620923,54.971211,-1.620692_54.971211,-1.620692,54.971637,-1.619926_54.971637,-1.619926,54.971163,-1.619507_54.971163,-1.619507,54.971247,-1.619158_54.971247,-1.619158,54.971613,-1.619328_54.971613,-1.619328,54.97208,-1.619203_54.97208,-1.619203,54.971939,-1.619712_54.971939,-1.619712,54.973264,-1.6198_54.973264,-1.6198,54.973478,-1.619725"
Tour of Newcastle #15,GeordieLass,https://www.ingress.com/mission/cddf3cba48714351a51e0ad5e1a715b1.1c,Sequential,Banner,Tour of Newcastle,15,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.972917,-1.617209&z=18&pls=54.97355,-1.618185,54.9735,-1.617659_54.9735,-1.617659,54.972935,-1.617712_54.972935,-1.617712,54.972412,-1.617252_54.972412,-1.617252,54.972328,-1.617483_54.972328,-1.617483,54.972146,-1.61721_54.972146,-1.61721,54.972912,-1.615907_54.972912,-1.615907,54.973236,-1.615429_54.973236,-1.615429,54.973467,-1.615022"
Tour of Newcastle #16,GeordieLass,https://www.ingress.com/mission/90ed8bbd7d5f495abf877a6ecce56cfa.1c,Sequential,Banner,Tour of Newcastle,16,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.973195,-1.613279&z=18&pls=54.973307,-1.614357,54.973344,-1.613927_54.973344,-1.613927,54.973327,-1.613546_54.973327,-1.613546,54.97294,-1.613972_54.97294,-1.613972,54.972613,-1.614256_54.972613,-1.614256,54.972865,-1.612197_54.972865,-1.612197,54.973071,-1.612323_54.973071,-1.612323,54.973177,-1.613163_54.973177,-1.613163,54.973835,-1.613157_54.973835,-1.613157,54.973825,-1.612107"
Tour of Newcastle #17,GeordieLass,https://www.ingress.com/mission/f39e6f44fae44913aa0c11b306c25e14.1c,Sequential,Banner,Tour of Newcastle,17,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.971725,-1.611928&z=17&pls=54.973906,-1.611378,54.973449,-1.611041_54.973449,-1.611041,54.973217,-1.610704_54.973217,-1.610704,54.972524,-1.610919_54.972524,-1.610919,54.97224,-1.610697_54.97224,-1.610697,54.971875,-1.610372_54.971875,-1.610372,54.971293,-1.609675_54.971293,-1.609675,54.971196,-1.609908_54.971196,-1.609908,54.970878,-1.610746"
Tour of Newcastle #18,GeordieLass,https://www.ingress.com/mission/f594f16f6d174147a3c0d4ef37083c5b.1c,Sequential,Banner,Tour of Newcastle,18,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.970589,-1.61099&z=17&pls=54.971229,-1.610775,54.971691,-1.611443_54.971691,-1.611443,54.972022,-1.612147_54.972022,-1.612147,54.971686,-1.612749_54.971686,-1.612749,54.971304,-1.61337_54.971304,-1.61337,54.971137,-1.613008_54.971137,-1.613008,54.970687,-1.612267_54.970687,-1.612267,54.970282,-1.611643_54.970282,-1.611643,54.970369,-1.610333_54.970369,-1.610333,54.970158,-1.61019_54.970158,-1.61019,54.969961,-1.611807_54.969961,-1.611807,54.969453,-1.611664_54.969453,-1.611664,54.969744,-1.611945_54.969744,-1.611945,54.970042,-1.613189_54.970042,-1.613189,54.969667,-1.613724"
Tour of Newcastle #19,GeordieLass,https://www.ingress.com/mission/c1ae923f6fcd4edeb31b6c9d46170a1d.1c,Sequential,Banner,Tour of Newcastle,19,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.970283,-1.616132&z=18&pls=54.969623,-1.614989,54.969699,-1.615358_54.969699,-1.615358,54.969796,-1.61593_54.969796,-1.61593,54.970021,-1.61602_54.970021,-1.61602,54.969708,-1.616378_54.969708,-1.616378,54.970086,-1.616738_54.970086,-1.616738,54.969965,-1.617146_54.969965,-1.617146,54.970276,-1.617151_54.970276,-1.617151,54.970484,-1.617238_54.970484,-1.617238,54.97016,-1.617546"
Tour of Newcastle #20,GeordieLass,https://www.ingress.com/mission/6214f775c1584dae949b6eeba2ff8f50.1c,Sequential,Banner,Tour of Newcastle,20,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.969979,-1.618023&z=17&pls=54.970145,-1.61827,54.970418,-1.618807_54.970418,-1.618807,54.97031,-1.619293_54.97031,-1.619293,54.970684,-1.62051_54.970684,-1.62051,54.970807,-1.62175_54.970807,-1.62175,54.970548,-1.620826_54.970548,-1.620826,54.969939,-1.620826_54.969939,-1.620826,54.969727,-1.620872_54.969727,-1.620872,54.969529,-1.621821_54.969529,-1.621821,54.969117,-1.622155_54.969117,-1.622155,54.968988,-1.621244"
Tour of Newcastle #21,GeordieLass,https://www.ingress.com/mission/e4d6c13f7ab348fd90d5fd7f086541f6.1c,Sequential,Banner,Tour of Newcastle,21,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.967781,-1.621&z=17&pls=54.968349,-1.622204,54.967695,-1.621481_54.967695,-1.621481,54.967648,-1.620941_54.967648,-1.620941,54.967533,-1.621184_54.967533,-1.621184,54.966665,-1.620929_54.966665,-1.620929,54.966743,-1.620614_54.966743,-1.620614,54.966797,-1.620038_54.966797,-1.620038,54.968214,-1.620573_54.968214,-1.620573,54.969029,-1.620089_54.969029,-1.620089,54.969134,-1.619609"
Tour of Newcastle #22,GeordieLass,https://www.ingress.com/mission/e3ad158657f24ed081e93832667c858e.1c,Sequential,Banner,Tour of Newcastle,22,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.969254,-1.618877&z=17&pls=54.969614,-1.619408,54.969425,-1.618965_54.969425,-1.618965,54.968938,-1.619079_54.968938,-1.619079,54.969085,-1.618713_54.969085,-1.618713,54.969304,-1.618654_54.969304,-1.618654,54.969603,-1.618628_54.969603,-1.618628,54.969473,-1.618142_54.969473,-1.618142,54.96924,-1.617901_54.96924,-1.617901,54.969069,-1.617411"
